species	Order	sp	sample_no	Depth	Study	region	Delta15N	Delta13C	ratio.C.N	Z.dens	C.dens	chla	chlb	chlc	chlca	Host.prot.cont	In.cont	Sk.dens	Tot.Lip.cont
Cyphastrea_microphthalma	Scleractinia	Cm	CYPS6	10	DePalmas_et_al	Unknow	-0.123	-14.661	7.85674925	185799714.3	136734693.9	4316.363265	1674.471429	530.5061224	0.12290581	148308.4998	0	1.864787255	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPS9	10	DePalmas_et_al	Unknow	3.216	-13.474	10.85376095	307878375	295937500	3696.373438	2035.634375	494.5328125	0.13378865	166740.0361	0	2.03266489	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPS11	10	DePalmas_et_al	Unknow	0.356	-15.71	9.079531479	213298941.2	168823529.4	1972.245588	1022.861765	344.4779412	0.174662802	148488.1769	0	0.668616992	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPD5	40	DePalmas_et_al	Unknow	1.371	-19.319	8.080017965	194621854.5	140363636.4	2038.256364	820.5490909	331.0018182	0.162394596	123875.972	0	1.627080831	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPD8	40	DePalmas_et_al	Unknow	2.442	-17.415	7.767797738	203647866.7	157777777.8	3130.26	1481.317778	263.0066667	0.08402071	90257.89642	0	1.851972888	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSS1	10	DePalmas_et_al	Unknow	1.83	-13.999	9.672486723	141401533.3	1.32E+08	2378.288333	1538.153333	281.445	0.11833931	95704.97484	0	1.640062339	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSS2	10	DePalmas_et_al	Unknow	-2.277	-17.688	8.283418001	200070000	175081967.2	1958.231148	743.6983607	208.7327869	0.106592517	180636.4467	0	1.4757421	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSB2	10	DePalmas_et_al	Unknow	4.181	-16.227	9.359338638	340316337.7	234545454.5	2507.625974	252.9987013	573.561039	0.22872671	245342.068	0	1.336543537	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSB4	6	DePalmas_et_al	Unknow	5.101	-16.698	7.675925056	203345164.8	186593406.6	2047.525275	546.7945055	347.3912088	0.169663942	224705.7918	0	1.351888002	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSB6	10	DePalmas_et_al	Unknow	4.731	-16.879	9.90326391	226929522.4	122388059.7	1768.31791	308.8507463	378.3268657	0.213947313	214005.172	0	1.368446744	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSB7	10	DePalmas_et_al	Unknow	5.119	-16.515	10.7748753	356057626.7	226400000	2439.561333	870.6093333	406.0946667	0.166462167	270544.0558	0	1.635588683	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSB9	10	DePalmas_et_al	Unknow	4.552	-16.721	8.766233654	204986786.9	182622950.8	2176.880328	748.6934426	352.9393443	0.162130798	218148.9785	0	1.485804238	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSB11	10	DePalmas_et_al	Unknow	2.747	-16.452	7.269392555	273874000	185233644.9	1853.162617	808.1065421	316.6803738	0.170886446	140683.2571	0	3.360990827	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSBA1	10	DePalmas_et_al	Unknow	5.185	-16.487	9.096634334	235450553.8	167384615.4	3145.578462	1106.792308	483.2430769	0.15362614	209292.4303	0	1.507059971	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSBA3	10	DePalmas_et_al	Unknow	4.936	-15.322	8.617429236	254796792.5	238113207.5	2261.977358	631.1622642	479.109434	0.211810004	177947.0519	0	1.052028344	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSBA5	10	DePalmas_et_al	Unknow	5.51	-14.808	8.947786173	296842322.6	323548387.1	2932.554839	339.9612903	661.6387097	0.225618529	268697.6089	0	1.072863209	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSBA7	10	DePalmas_et_al	Unknow	5.818	-14.819	8.799336553	140884240	238800000	1831.338	276.738	214.026	0.11686865	130881.8961	0	1.599966079	NA
Cyphastrea_microphthalma	Scleractinia	Cm	CYPSBA8	10	DePalmas_et_al	Unknow	2.917	-17.772	10.21681096	424659311.5	347213114.8	1200.168852	282.995082	264.6672131	0.220524981	157975.7498	0	1.944563193	NA
Isopora_palifera	Scleractinia	Ip	ISPSS1	10	DePalmas_et_al	Unknow	3.265	-14.161	7.463228559	123592235.3	90294117.65	957.2382353	295.0264706	273.2617647	0.285468919	160704.7917	0	1.515598321	NA
Isopora_palifera	Scleractinia	Ip	ISPSS2	10	DePalmas_et_al	Unknow	2.647	-11.647	11.40909091	114554927.5	77971014.49	713.915942	139.9318841	243.6057971	0.341224762	145753.6231	0	1.649488054	NA
Isopora_palifera	Scleractinia	Ip	ISPSS3	10	DePalmas_et_al	Unknow	3.863	-12.73	7.025344712	122790545.5	93030303.03	569.6060606	28.26060606	185.4363636	0.32555195	206626.2728	0	1.471526293	NA
Isopora_palifera	Scleractinia	Ip	ISPSS4	10	DePalmas_et_al	Unknow	3.095	-14.322	10.63650151	133970203.4	113220339	1667.216949	761.5288136	232.5457627	0.139481405	147273.1861	0	1.538793482	NA
Isopora_palifera	Scleractinia	Ip	ISPSS5	10	DePalmas_et_al	Unknow	3.513	-12.683	7.855592811	124636315.8	108421052.6	1170.375439	728.3298246	196.9368421	0.168268092	170499.382	0	1.485183222	NA
Isopora_palifera	Scleractinia	Ip	ISPSS6	10	DePalmas_et_al	Unknow	2.946	-11.905	12.66924296	163142369.2	8.40E+07	782.2492308	155.0707692	230.2923077	0.294397615	211783.0703	0	1.479423762	NA
Isopora_palifera	Scleractinia	Ip	ISPDS1	40	DePalmas_et_al	Unknow	3.825	-14.322	7.967680235	190391677.4	118709677.4	907.3096774	76.08225806	281.1129032	0.309831263	148609.6601	0	1.545579509	NA
Isopora_palifera	Scleractinia	Ip	ISPDS2	40	DePalmas_et_al	Unknow	4.456	-14.505	10.55813605	131302850	1.22E+08	839.39875	239.96125	175.45375	0.209023125	127941.3451	0	1.05895099	NA
Isopora_palifera	Scleractinia	Ip	ISPDS3	40	DePalmas_et_al	Unknow	4.436	-13.956	8.716265837	98592764.71	117647058.8	1655.561765	539.9529412	347.6147059	0.209967827	133921.6284	0	1.813888098	NA
Isopora_palifera	Scleractinia	Ip	ISPDS4	40	DePalmas_et_al	Unknow	4.445	-14.609	8.443450016	114362500	88571428.57	2101.276786	956.325	235.7017857	0.112170747	100832.3586	0	1.466802598	NA
Isopora_palifera	Scleractinia	Ip	ISPDS5	40	DePalmas_et_al	Unknow	3.756	-13.842	9.169779002	149167672.7	1.08E+08	2020.838182	874.1545455	401.26	0.198561173	95059.11389	0	1.998949237	NA
Isopora_palifera	Scleractinia	Ip	ISPDS6	40	DePalmas_et_al	Unknow	4.735	-14.04	9.070565336	112736760.6	110422535.2	1903.701408	764.628169	351.7295775	0.184760896	154787.0058	0	1.693790497	NA
Isopora_palifera	Scleractinia	Ip	ISPD1	32	DePalmas_et_al	Unknow	4.06	-17.06	6.530549132	185316491.8	147868852.5	1145.408197	109.0606557	341.2377049	0.297917988	189313.6104	0	1.485143764	NA
Isopora_palifera	Scleractinia	Ip	ISPD3	32	DePalmas_et_al	Unknow	3.105	-15.58	7.866239906	255642355.6	174666666.7	1790.971111	208.2355556	499.3666667	0.278824524	270382.0306	0	1.617972605	NA
Isopora_palifera	Scleractinia	Ip	ISPD4	32	DePalmas_et_al	Unknow	2.942	-16.798	7.383484777	270557803.3	168196721.3	1496.770492	67.69180328	480.4229508	0.320973024	306150.576	0	1.57827838	NA
Isopora_palifera	Scleractinia	Ip	ISPD5	32	DePalmas_et_al	Unknow	3.091	-15.019	7.01777555	202362363.6	152272727.3	1979.906818	237.4727273	534.2931818	0.269857741	224113.4315	0	1.473395845	NA
Isopora_palifera	Scleractinia	Ip	ISPD6	32	DePalmas_et_al	Unknow	3.186	-14.936	9.607965938	289217652.2	247826087	2123.01087	653.0869565	575.5978261	0.271123353	222172.1626	0	1.708207625	NA
Isopora_palifera	Scleractinia	Ip	ISPD7	40	DePalmas_et_al	Unknow	3.422	-16.206	6.86905648	255646355.6	192444444.4	2037.788889	688.4533333	497.18	0.243980131	163909.2386	0	1.39341882	NA
Isopora_palifera	Scleractinia	Ip	ISPS1	10	DePalmas_et_al	Unknow	2.399	-12.817	10.98952919	224533288.9	190666666.7	2477.493333	1054.151111	587.3955556	0.237092689	239973.5498	0	1.59238721	NA
Isopora_palifera	Scleractinia	Ip	ISPS2	10	DePalmas_et_al	Unknow	2.764	-16.95	6.33670541	216461475.4	166229508.2	1927.380328	794.1737705	433.8196721	0.225082546	154591.5836	0	1.453995884	NA
Isopora_palifera	Scleractinia	Ip	ISPS3	10	DePalmas_et_al	Unknow	3.155	-13.467	8.108444778	155317842.1	152368421.1	1665.717105	661.0052632	437.3565789	0.262563539	231666.7299	0	1.735437716	NA
Isopora_palifera	Scleractinia	Ip	ISPS4	10	DePalmas_et_al	Unknow	3.578	-12.891	8.020132489	209153697	162121212.1	2119.625758	618.5045455	476.7893939	0.224940366	250463.0319	0	1.53725958	NA
Isopora_palifera	Scleractinia	Ip	ISPS5	10	DePalmas_et_al	Unknow	3.214	-13.8	7.653024685	248081280	207200000	3106.016	1195.584	456.224	0.146883983	207355.553	0	1.496631866	NA
Isopora_palifera	Scleractinia	Ip	ISPS6	10	DePalmas_et_al	Unknow	3.111	-13.373	7.706304671	219739573.8	166229508.2	1851.885246	411.5409836	466.4098361	0.25185677	232741.2195	0	1.564958807	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPS1	10	DePalmas_et_al	Unknow	0.019	-17.02	6.981257081	162380608.7	117391304.3	1841.684058	465.7217391	349.0985507	0.189553984	161423.4555	0	1.387777374	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPS4	10	DePalmas_et_al	Unknow	2.676	-18.483	8.103629095	113281063.8	87234042.55	1114.687234	141.4255319	276.2319149	0.247811141	107487.3433	0	1.541736815	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPS5	10	DePalmas_et_al	Unknow	1.544	-17.312	7.249650618	191108447.8	211044776.1	1557.664179	128.4373134	363.8910448	0.233613284	166664.1745	0	1.383035941	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPS9	10	DePalmas_et_al	Unknow	0.209	-17.71	7.39930845	211189407.4	177407407.4	3066.896296	1317.431481	406.9888889	0.132703831	127632.1085	0	1.767334715	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPD1	40	DePalmas_et_al	Unknow	0.415	-18.565	7.309266972	154810982.5	125964912.3	734.945614	10.32280702	248.8298246	0.338569031	132653.0212	0	2.161157124	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPD4	40	DePalmas_et_al	Unknow	0.122	-16.935	7.692061531	207307913	196811594.2	1344.431884	7.871014493	369.9536232	0.275174687	218177.0441	0	1.86618793	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPD5	40	DePalmas_et_al	Unknow	-1.782	-17.692	7.180314417	234441375	1.75E+08	1070.7625	0	327.103125	0.305486161	222840.276	0	2.042508657	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPD6	40	DePalmas_et_al	Unknow	-0.918	-18.502	7.596430552	221380491.8	199672131.1	1108.865574	0	358.4032787	0.323216165	175015.4918	0	1.509662248	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPD7	40	DePalmas_et_al	Unknow	-5.024	-18.412	6.562468113	182249506.8	176712328.8	749.2123288	0	242.6041096	0.323812223	179181.9926	0	1.600909774	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSS3	15	DePalmas_et_al	Unknow	1.102	-18.584	7.109692039	136439381.8	109818181.8	2332.932727	1206.407273	251.3	0.107718494	157775.3064	0	2.00495964	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSS4	10	DePalmas_et_al	Unknow	-1.669	-16.741	6.71643747	221941687.5	161875000	1419.001563	345.3265625	315.6390625	0.222437431	180908.4691	0	1.306095272	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSS5	10	DePalmas_et_al	Unknow	-3.654	-19.136	6.79738295	150861682.5	97460317.46	2518.744444	668.2095238	575.9603175	0.228669613	228706.5608	0	1.406310126	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSS6	10	DePalmas_et_al	Unknow	-0.233	-16.74	7.959953265	162185090.9	126666666.7	1958.709091	375.0969697	326.2727273	0.166575388	202063.778	0	1.191787342	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSS7	10	DePalmas_et_al	Unknow	0.862	-16.666	9.068334951	180660447.8	140597014.9	1008.498507	0	295.0179104	0.292531827	217257.3453	0	0.999274322	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSB1	10	DePalmas_et_al	Unknow	2.171	-18.373	8.18482991	222276172.8	176790123.5	692.7419753	0	225.2506173	0.325158032	161001.7177	0	1.376597386	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSL3	10	DePalmas_et_al	Unknow	-0.611	-17.857	7.955097804	234328514.3	214857142.9	952.7438095	0	340.2809524	0.357158922	220528.6353	0	1.237016538	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSL5	10	DePalmas_et_al	Unknow	-1.878	-22.672	6.553354807	162785186.4	130847457.6	1881.705085	0	636.6508475	0.338337209	154106.9378	0	1.835079302	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSL6	10	DePalmas_et_al	Unknow	-3.294	-17.759	6.03523074	207757138.5	218461538.5	904.3846154	0	301.4584615	0.333329931	200960.0445	0	1.721388723	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSL7	10	DePalmas_et_al	Unknow	-0.742	-20.225	6.338610452	246941000	155312500	1014.492188	0	364.1171875	0.358915714	131811.3836	0	1.684048995	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSL8	10	DePalmas_et_al	Unknow	-1.089	-17.47	7.989215826	197873434.8	152391304.3	955.1641304	0	325.5815217	0.340864477	184926.3886	0	1.670758606	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSLA2	10	DePalmas_et_al	Unknow	0.667	-19.002	7.334975307	115440769.2	94871794.87	1997.647436	292.2730769	490.7653846	0.245671671	140003.89	0	1.365964195	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSLA3	10	DePalmas_et_al	Unknow	-2.804	-16.598	6.178279106	132797931	104310344.8	751.8655172	10.83448276	232.8655172	0.30971698	158868.0068	0	1.528212673	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSLA4	10	DePalmas_et_al	Unknow	-5.961	-17.029	5.742613091	145511766.2	151168831.2	1026.657143	0	324.7558442	0.316323562	191211.9726	0	1.62092259	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSLA5	10	DePalmas_et_al	Unknow	0.501	-18.078	6.078858794	107189142.9	115306122.4	1161.187755	0	347.8	0.299520899	186239.899	0	1.640057084	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSLA7	10	DePalmas_et_al	Unknow	-0.248	-16.26	7.421307789	203539162.8	205348837.2	1191.097674	18.82209302	357.3372093	0.300006638	150930.028	0	1.242668377	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPSLA8	10	DePalmas_et_al	Unknow	-2.804	-16.598	6.178279106	147044400	105800000	2252.174	861.251	360.376	0.160012503	189345.2176	0	1.461583102	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPDS1	40	DePalmas_et_al	Unknow	-0.648	-16.584	7.604415647	186826941.2	147352941.2	810.1617647	0	277.4823529	0.342502405	169770.704	0	2.000460739	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPDS2	40	DePalmas_et_al	Unknow	5.451	-17.431	7.062429872	212713240.5	125063291.1	600.5050633	0	226.8721519	0.37780223	180942.514	0	1.701869834	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPDS3	40	DePalmas_et_al	Unknow	-0.58	-16.025	9.171722716	127191016.9	105762711.9	412.3254237	0	178.2813559	0.432380216	157080.8082	0	1.886167428	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPDS4	40	DePalmas_et_al	Unknow	3.332	-15.582	6.791356783	157203942.9	124857142.9	506.1285714	5.384285714	172.7085714	0.341234582	187958.1635	0	2.007221162	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPDS5	40	DePalmas_et_al	Unknow	-0.582	-17.882	7.778932688	217453304.3	186666666.7	1164.421739	235.2318841	257.9608696	0.221535601	191928.6722	0	1.741760037	NA
Pachyseris_speciosa	Scleractinia	Ps	PAPDS6	40	DePalmas_et_al	Unknow	0.203	-16.781	6.734140464	86131063.29	73164556.96	769.0873418	2.575949367	292.8443038	0.380768591	263267.9944	0	1.82113801	NA
Porites_lutea	Scleractinia	Pl	POPDS1	40	DePalmas_et_al	Unknow	4.536	-17.206	7.657565073	86257816.09	83448275.86	590.4873563	222.6655172	293.6298851	0.497267015	68798.12903	0	1.008158222	NA
Porites_lutea	Scleractinia	Pl	POPDS2	40	DePalmas_et_al	Unknow	4.259	-16.66	7.123595506	115847842.1	93684210.53	298.1986842	63.18289474	143.6302632	0.481659614	74475.53921	0	1.194764141	NA
Porites_lutea	Scleractinia	Pl	POPDS3	40	DePalmas_et_al	Unknow	4.654	-16.339	7.589473684	132005944.4	112777777.8	622.6430556	92.07083333	216.9763889	0.348476365	116735.739	0	1.29275311	NA
Porites_lutea	Scleractinia	Pl	POPDS4	40	DePalmas_et_al	Unknow	4	-15.144	7.273648752	86750784.31	88235294.12	1001.747059	220.1803922	310.9431373	0.310400849	102502.5784	0	1.352581859	NA
Porites_lutea	Scleractinia	Pl	POPDS5	40	DePalmas_et_al	Unknow	3.272	-15.38	6.718309859	98834195.12	81707317.07	465.247561	152.4146341	257.5231707	0.553518583	135379.5298	0	1.36497315	NA
Porites_lutea	Scleractinia	Pl	POPDS6	40	DePalmas_et_al	Unknow	3.683	-16.122	6.266666667	127284623	121311475.4	1520.090164	483.5163934	370.8114754	0.243940448	119516.1724	0	1.305783382	NA
Porites_lutea	Scleractinia	Pl	POPSS1	10	DePalmas_et_al	Unknow	4.146	-13.17	7.093023256	123434415.6	121558441.6	554.8402597	155.5428571	309.8350649	0.558422103	128364.7046	0	1.432871594	NA
Porites_lutea	Scleractinia	Pl	POPSS2	10	DePalmas_et_al	Unknow	3.465	-13.414	7.029726251	169932554.2	203132530.1	338.5638554	103.8156627	220.3156627	0.650735922	165110.1997	0	1.417954218	NA
Porites_lutea	Scleractinia	Pl	POPSS3	10	DePalmas_et_al	Unknow	3.923	-15.245	6.586338313	122283722.2	124444444.4	769.1222222	420.2833333	288.7777778	0.375464093	154263.8071	0	1.482728506	NA
Porites_lutea	Scleractinia	Pl	POPSS5	10	DePalmas_et_al	Unknow	4.238	-14.015	8.58677686	79504222.22	93611111.11	345.4833333	83.55	259.2611111	0.750430154	106131.1188	0	1.318383786	NA
Porites_lutea	Scleractinia	Pl	POPSS6	10	DePalmas_et_al	Unknow	3.51	-14.382	8.399770123	136545675.7	145945945.9	1186.409459	247.3054054	413.5310811	0.348556797	205389.8479	0	1.373767044	NA
Porites_lutea	Scleractinia	Pl	POPSS7	10	DePalmas_et_al	Unknow	2.5	-12.207	5.945923978	94434808.99	104044943.8	1032.469663	325.2370787	330.705618	0.320305409	177146.1019	0	1.39546165	NA
Porites_lutea	Scleractinia	Pl	POPSBA1	10	DePalmas_et_al	Unknow	6.849	-14.406	7.291039867	344358810.1	286835443	1250.853165	123.1063291	661.1620253	0.528568855	211490.2535	0	1.20307359	NA
Porites_lutea	Scleractinia	Pl	POPSBA2	10	DePalmas_et_al	Unknow	6.898	-15.581	6.228571429	172892814.8	174814814.8	1131.658025	77.03950617	651.7246914	0.575902505	203052.012	0	1.151250101	NA
Porites_lutea	Scleractinia	Pl	POPSBA5	10	DePalmas_et_al	Unknow	6.484	-14.519	6.9609375	115337166.7	121944444.4	1010.401389	178.3666667	637.8097222	0.631243909	202346.4948	0	1.141194637	NA
Porites_lutea	Scleractinia	Pl	POPSBA6	10	DePalmas_et_al	Unknow	6.615	-13.991	7.666666667	155320315.8	173157894.7	983.4907895	126.0013158	439.4907895	0.446868231	162904.9855	0	1.225708515	NA
Porites_lutea	Scleractinia	Pl	POPSBA7	10	DePalmas_et_al	Unknow	8.115	-14.536	6.979895685	170625361.3	135126050.4	747.3588235	29.22352941	426.2815126	0.570383997	202933.3707	0	1.196582004	NA
Porites_lutea	Scleractinia	Pl	POPSBA8	10	DePalmas_et_al	Unknow	6.699	-15.45	7.544244227	207734115.4	200192307.7	930.7192308	69.16442308	450.0557692	0.483556968	146386.9775	0	1.28481513	NA
Porites_lutea	Scleractinia	Pl	POPD1	40	DePalmas_et_al	Unknow	4.366	-16.716	7.56754338	180369757.6	131818181.8	507.7409091	88.84848485	195.980303	0.385984859	103979.4461	0	1.223294072	NA
Porites_lutea	Scleractinia	Pl	POPD4	40	DePalmas_et_al	Unknow	4.676	-16.353	5.537703125	153296322.6	169032258.1	2159.96129	588.2887097	561.3129032	0.259871742	147760.1459	0	1.425614648	NA
Porites_lutea	Scleractinia	Pl	POPD6	40	DePalmas_et_al	Unknow	4.427	-18.485	6.263612051	270766482.8	184827586.2	1541.387931	321.9689655	471.8327586	0.306109026	103113.3574	0	1.361131359	NA
Porites_lutea	Scleractinia	Pl	POPD10	40	DePalmas_et_al	Unknow	4.993	-15.501	6.292259306	175383714.3	111168831.2	695.4545455	156.0727273	319.9012987	0.459988796	120356.765	0	1.333349975	NA
Porites_lutea	Scleractinia	Pl	POPD11	40	DePalmas_et_al	Unknow	4.388	-15.41	6.917824182	167221928.6	172857142.9	889.6375	59.21607143	369.8660714	0.415749192	126068.8543	0	1.264008056	NA
Porites_lutea	Scleractinia	Pl	POPD15	40	DePalmas_et_al	Unknow	4.303	-17.347	6.363636364	146376444.4	144444444.4	643.9833333	119.7537037	332.1314815	0.515745462	91434.94633	0	1.17942967	NA
Porites_lutea	Scleractinia	Pl	POPS2	10	DePalmas_et_al	Unknow	4.636	-15.996	7.585582036	202377534.9	156976744.2	713.4162791	124.5151163	342.6465116	0.480289729	112647.8773	0	1.170251992	NA
Porites_lutea	Scleractinia	Pl	POPS5	10	DePalmas_et_al	Unknow	5.064	-13.823	7.070088399	169299230.8	178153846.2	554.4846154	54.98153846	406.0261538	0.732258646	111568.2565	0	1.137520809	NA
Porites_lutea	Scleractinia	Pl	POPS6	10	DePalmas_et_al	Unknow	4.596	-15.423	6.586471125	219830044	166153846.2	853.8868132	69.20769231	398.9637363	0.467232577	140151.2	0	1.17575561	NA
Porites_lutea	Scleractinia	Pl	POPS11	10	DePalmas_et_al	Unknow	4.234	-15.158	6.128739556	231409343.3	227164179.1	811.1955224	42.43432836	399.0104478	0.4918795	131749.4968	0	1.287049941	NA
Porites_lutea	Scleractinia	Pl	POPS12	10	DePalmas_et_al	Unknow	3.935	-13.892	8.385968792	152706488.5	158320610.7	829.3335878	140.7022901	322.489313	0.388853554	184414.65	0	1.152342817	NA
Porites_lutea	Scleractinia	Pl	POPS14	10	DePalmas_et_al	Unknow	3.967	-13.521	5.995966623	203581717.6	194588235.3	641.5058824	64.03764706	277.2329412	0.432159624	132781.6252	0	1.417661147	NA
Porites_lutea	Scleractinia	Pl	POPSB1	10	DePalmas_et_al	Unknow	5.902	-15.458	6.725615016	280032429.6	304296296.3	1375.02963	78.91777778	425.4488889	0.309410706	204151.0939	0	1.236524967	NA
Porites_lutea	Scleractinia	Pl	POPSB2	10	DePalmas_et_al	Unknow	6.264	-15.796	6.833333333	210766095.2	181904761.9	997.3678571	58.59880952	396.0107143	0.397055822	206002.8905	0	1.122599924	NA
Porites_lutea	Scleractinia	Pl	POPSB3	10	DePalmas_et_al	Unknow	6.022	-15.366	6.881481481	219044160	204400000	895.295	7.856	372.569	0.416141048	174077.3196	0	1.069711861	NA
Porites_lutea	Scleractinia	Pl	POPSB4	10	DePalmas_et_al	Unknow	6.415	-13.728	6.570932016	98136971.43	126666666.7	716.4828571	18.29619048	219.5	0.306357644	163286.913	0	1.094389633	NA
Porites_lutea	Scleractinia	Pl	POPSB8	10	DePalmas_et_al	Unknow	6.597	-14.986	6.888888889	194430404.5	158876404.5	1110.05618	69.40674157	433.5033708	0.390523812	205561.2064	0	1.15132585	NA
